"movie_id","movie_year","log_opening_weekend","z_log_star_power","z_genre_familiarity","interaction_z","z_log_production_budget","z_tomatoMeter","star_power","genre_familiarity","tomatoMeter","production_budget","opening_weekend","log_production_budget","log_star_power","actor_avg_per_film_1"
"tt0118589",2001,14.6970429574378,-0.81890899764059,-0.269847950652157,0.220980914783925,-0.272929746150911,-1.87757077990879,43023654.25,49.9292071197411,6,22000000,2414596,16.9065530567771,17.5772606444892,4273372
"tt0120630",2000,16.6780635483245,0.532285874365437,-1.07748254540398,-0.573528738793855,0.334407865694706,1.79228152769433,102569832,31.4724919093851,97,45000000,17506162,17.6221730699568,18.4460544221259,84191080
"tt0120667",2005,17.8419599495767,1.31620516014966,-1.56958647382263,-2.06589781614645,1.01209119051316,0.0178474448972129,169794644,20.2265372168285,53,100000000,56061504,18.4206807539524,18.9501002942417,143119371
"tt0120679",2002,12.2356168845589,0.465112670584779,-0.241967961901819,-0.112542364956111,-0.787349468363008,0.945392533632068,98234031,50.5663430420712,76,12000000,205996,16.3004172910856,18.4028632713321,91340782
"tt0120681",2001,16.2147521059456,1.66386815787168,0.45901461239237,0.763739797557475,0.121120509238345,0.179159634242405,212327677.25,66.5857605177994,57,35000000,11014818,17.3708586480251,19.1736412914681,191792343
"tt0120737",2001,17.6701478743156,1.23517721692698,-1.12394919332121,-1.38827643657381,0.950501366294413,1.55031324367654,161174919.75,30.4105987055016,91,93000000,47211490,18.3481100618702,18.8980007974593,109749595
"tt0120755",2000,17.8732827291304,0.602064116566326,0.80419542549178,0.484177208395389,1.20147028534462,0.0178474448972129,107276541.25,74.4741100323625,53,125000000,57845297,18.6438243032666,18.4909205653407,268479057
"tt0120804",2002,16.689476642378,0.677863102397657,-0.530946257996582,-0.35990887765199,0.0711833260211248,-0.708057407156152,112634422,43.9623786407767,35,33000000,17707106,17.3120181497338,18.5396579374295,77233332
"tt0120824",2001,14.0021353425781,0.0690128193169285,1.39100280776077,0.0959970254413345,0.190914936303218,0.058175492233511,76147152.5,87.8843042071197,54,38000000,1205174,17.4530967440064,18.1481782564361,65205260
"tt0120903",2000,17.8131877464776,1.46768590142532,-0.393759011764766,-0.577914550126313,0.767939074010887,1.18736081764986,187164722.5,47.0974919093851,82,75000000,54471475,18.1329986848339,19.0474996614083,152638834
"tt0120912",2002,17.7696108081563,0.383768588959572,-1.28459103326363,-0.492985688225702,1.29765089977652,-0.587073265147258,93228170.5,26.7394822006472,38,140000000,52148751,18.7571529877164,18.350560503295,121220640
"tt0120913",2000,16.0537540171038,-0.0397424947359855,-1.62578899082728,0.0646129104097762,0.767939074010887,-0.103136697111681,71004268.25,18.9421521035599,50,75000000,9376845,18.1329986848339,18.0782505634795,155688121
"tt0120917",2000,16.0991475644381,0.394379376887926,-1.5231198259054,-0.600687047866217,1.01209119051316,1.34867300699505,93866398.5,21.288430420712,86,100000000,9812302,18.4206807539524,18.3573830473402,150211542
"tt0121765",2002,18.1978848197089,0.709295166875416,-1.58861567249349,-1.12679741852217,1.13070537395347,0.0178474448972129,114933950.25,19.7916666666667,53,115000000,80027814,18.5604426950232,18.5598681843764,142524523
"tt0121766",2005,18.501669238075,1.29294260348924,-1.58861567249349,-2.05398888353755,1.11581574141784,0.0178474448972129,167273856.5,19.7916666666667,53,113000000,108435841,18.5428983855262,18.9351428925396,142524523
"tt0122459",2000,15.8723021400419,-1.11495199671615,0.126224905404221,-0.140734710315743,-0.199084299362812,0.380799870923895,35566343.5,58.9805825242719,62,24000000,7820836,16.9935644299789,17.386910369456,25950760
"tt0125022",2001,16.2837222865314,-0.818860965653603,-0.274273345691891,0.224591736706306,0.121120509238345,0.058175492233511,43024983,49.828074433657,54,35000000,11801323,17.3708586480251,17.577291528185,40827124
"tt0126029",2001,17.5614261087155,1.17339266419887,-1.5231198259054,-1.78721763041325,0.578559980311009,1.42932910166764,154897543.25,21.288430420712,88,60000000,42347760,17.909855136853,18.8582744514848,258111009
"tt0130623",2000,17.4753435175846,1.12670189886405,-0.634057962422431,-0.714394310251224,1.21827652336698,0.0178474448972129,150316425,41.6059870550162,53,127500000,38854851,18.6636269304059,18.8282531368422,52570377
"tt0131704",2000,15.7345296474718,-0.20539209094067,-1.5231198259054,0.3128367657959,0.779180129498447,0.0178474448972129,63830447.25,21.288430420712,53,76000000,6814270,18.1462439114085,17.9717408797675,66396458
"tt0132245",2001,16.3148545690222,-0.396846181222086,-0.159213074658754,0.0631831006789534,0.959578322166326,0.743752296950578,56437216,52.4575242718447,71,94000000,12174504,18.3588053508726,17.8486393747324,93576471
"tt0133152",2001,18.042825369983,0.0989636710171236,-0.393759011764766,-0.038967837300316,1.01209119051316,-0.345104981129469,77627794.5,47.0974919093851,44,100000000,68532960,18.4206807539524,18.1674361104519,126395200
"tt0133240",2002,16.3073306712621,-0.108023810934377,-1.83201239967898,0.197900961092356,1.29765089977652,0.663096202277981,67954362.75,14.2293689320388,69,140000000,12083248,18.7571529877164,18.0343469165141,74883280
"tt0134084",2000,17.3626346955022,-0.428686568662695,0.45901461239237,-0.196773399152522,0.234446902352468,-0.466089123138363,55293535.75,66.5857605177994,41,40000000,34713342,17.5043900370782,17.8281665835318,36870743
"tt0134630",2000,14.5099514013815,0.754098943638707,-1.15890981413513,-0.873932666611828,-0.312410690456252,-1.27265006986432,118293122.5,29.6116504854369,21,21000000,2002588,16.8600330433067,18.5886761996175,92141630
